Participant,Distribution,Round,Solution,Sequences,,,,,,,,,,,,,,,,,,,,,,
Person1,111,1, TSC,"[TCC, TCS, TSC]",,,,,,,,,,,,,,,,,,,,,,
Person1,111,2,CCS,"[SCT, STS, TTC, CCS]",,,,,,,,,,,,,,,,,,,,,,
Person1,111,3,SCS,"[TSS, SCT, SCS]",,,,,,,,,,,,,,,,,,,,,,
Person1,321,1,SSC,"[SCC, CTC, SSC]",,,,,,,,,,,,,,,,,,,,,,
Person1,321,2,CSC,"[CSS, SST, CSC]",,,,,,,,,,,,,,,,,,,,,,
Person1,321,3,CCS,[CCS],,,,,,,,,,,,,,,,,,,,,,
Person1,113,1,TTT,"[TTC, TST, TTT]",,,,,,,,,,,,,,,,,,,,,,
Person1,113,2,STT,"[TTT, TCT, TTS, STT]",,,,,,,,,,,,,,,,,,,,,,
Person1,113,3,TTT,"[TCT, STT, TTT]",,,,,,,,,,,,,,,,,,,,,,
Person2,111,1,TSS,"[TSC, TST, TSS]",,,,,,,,,,,,,,,,,,,,,,
Person2,111,2,CTT,"[TSC, STS, SCS, CTC, CTT]",,,,,,,,,,,,,,,,,,,,,,
Person2,111,3,SCS,"[TTT, SCS]",,,,,,,,,,,,,,,,,,,,,,
Person2,321,1,CSC,"[TTT, CCS, CSC]",,,,,,,,,,,,,,,,,,,,,,
Person2,321,2,TCC,"[TTT, TCS, TCC]",,,,,,,,,,,,,,,,,,,,,,
Person2,321,3,TSC,"[TTT, TCS, TSC]",,,,,,,,,,,,,,,,,,,,,,
Person2,113,1,CTT,"[SCS, CTT]",,,,,,,,,,,,,,,,,,,,,,
Person2,113,2,STC,"[TTS, TTT, TSC, TCS, STC]",,,,,,,,,,,,,,,,,,,,,,
Person2,113,3,TTT,"[CSC, TTT]",,,,,,,,,,,,,,,,,,,,,,
Person3,111,1,TCC,"[TCS, TCC]",,,,,,,,,,,,,,,,,,,,,,
Person3,111,2,SCS,"[CSS, SCS]",,,,,,,,,,,,,,,,,,,,,,
Person3,111,3,SCC,"[TTC, TSS, STT, STT, STC, SCC]",,,,,,,,,,,,,,,,,,,,,,
Person3,321,1,CSC,"[CCS, CSC]",,,,,,,,,,,,,,,,,,,,,,
Person3,321,2,CCC,[CCC],,,,,,,,,,,,,,,,,,,,,,
Person3,321,3,CCT,"[SCC, CCT]",,,,,,,,,,,,,,,,,,,,,,
Person3,113,1,TSC,"[TTT, TSS, TSC]",,,,,,,,,,,,,,,,,,,,,,
Person3,113,2,STT,"[TCT, TTS, TST, STT]",,,,,,,,,,,,,,,,,,,,,,
Person3,113,3,CTT,"[TTS, TSC, TSS, CTT]",,,,,,,,,,,,,,,,,,,,,,
Person4,111,1,TSC,"[TCS, SCT, TSC]",,,,,,,,,,,,,,,,,,,,,,
Person4,111,2,STS,"[TSC, TSS, CTS, TTS, TCS, STT, STS]",,,,,,,,,,,,,,,,,,,,,,
Person4,111,3,TTS,"[TTT, STT, TTS]",,,,,,,,,,,,,,,,,,,,,,
Person4,321,1,STT,"[CCC, TTT, STT]",,,,,,,,,,,,,,,,,,,,,,
Person4,321,2,TSS,"[CCC, TTT, STT, TSS]",,,,,,,,,,,,,,,,,,,,,,
Person4,321,3,SCC,"[CCC, TCC, SCC]",,,,,,,,,,,,,,,,,,,,,,
Person4,113,1,SST,"[TTT, TCC, STT, SST]",,,,,,,,,,,,,,,,,,,,,,
Person4,113,2,TST,"[TTT, TTS, TST]",,,,,,,,,,,,,,,,,,,,,,
Person4,113,3,STC,"[TTT, TSS, CST, STC]",,,,,,,,,,,,,,,,,,,,,,
Person5,111,1,CCC,"[CSC, TST, CCC]",,,,,,,,,,,,,,,,,,,,,,
Person5,111,2,TCC,"[TTT, TCC]",,,,,,,,,,,,,,,,,,,,,,
Person5,111,3,CSS,"[CCC, TCT, SSC, CSS]",,,,,,,,,,,,,,,,,,,,,,
Person5,321,1,SSS,"[CCC, SSS]",,,,,,,,,,,,,,,,,,,,,,
Person5,321,2,CCC,[CCC],,,,,,,,,,,,,,,,,,,,,,
Person5,321,3,STC,"[CCC, SSC, STC]",,,,,,,,,,,,,,,,,,,,,,
Person5,113,1,TCT,"[TTT, CTT, TCT]",,,,,,,,,,,,,,,,,,,,,,
Person5,113,2,TCC,"[TTT, CTC, CCT, TCC]",,,,,,,,,,,,,,,,,,,,,,
Person5,113,3,TCC,"[TTT, TCC]",,,,,,,,,,,,,,,,,,,,,,
Person6,111,1,SSC,"[TTT, SSS, STS, SSC]",,,,,,,,,,,,,,,,,,,,,,
Person6,111,2,TTT,"[CCC, SSS, TTT]",,,,,,,,,,,,,,,,,,,,,,
Person6,111,3,CSS,"[CTS, TTS, CCS, CSS]",,,,,,,,,,,,,,,,,,,,,,
Person6,321,1,TCC,"[SSS, CCC, CSC, CCT, TCC]",,,,,,,,,,,,,,,,,,,,,,
Person6,321,2,CTC,"[SSS, CCC, CTC]",,,,,,,,,,,,,,,,,,,,,,
Person6,321,3,CCT,"[CCC, TCC, CCT]",,,,,,,,,,,,,,,,,,,,,,
Person6,113,1,CST,"[SSS, TST, TSC, CST]",,,,,,,,,,,,,,,,,,,,,,
Person6,113,2,TTC,"[CCC, TCT, TTC]",,,,,,,,,,,,,,,,,,,,,,
Person6,113,3,TTT,"[CCC, SSS, TTT]",,,,,,,,,,,,,,,,,,,,,,
Person7,111,1,STS,"[SCT, STC, STT, STS]",,,,,,,,,,,,,,,,,,,,,,
Person7,111,2,CTC,"[SCT, SST, CCS, TCS, CTT, CTC]",,,,,,,,,,,,,,,,,,,,,,
Person7,111,3,CTT,"[TCS, TCC, CCT, CCS, SCT, CST, CTT]",,,,,,,,,,,,,,,,,,,,,,
Person7,321,1,TCS,"[CST, STC, TCS]",,,,,,,,,,,,,,,,,,,,,,
Person7,321,2,TTS,"[CST, CSC, CSS, TTS]",,,,,,,,,,,,,,,,,,,,,,
Person7,321,3,STT,"[CST, CSC, TCT, STT]",,,,,,,,,,,,,,,,,,,,,,
Person7,113,1,TSC,[TSC],,,,,,,,,,,,,,,,,,,,,,
Person7,113,2,CCT,"[TCS, TCC, CTC, CCT]",,,,,,,,,,,,,,,,,,,,,,
